,#TFBS_nonBlackList,#TFMS,TFBS_nonBlackList dis-to-neighbor median,TFMS dis-to-neighbor median,TFMS percentile-1,TFMS percentile-5,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater,TFBS_nonBlackList overlap SE,TFMS overlap SE,fisher_exact_s,fisher_exact_p,log10-dis ks_2samp-s signed,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s signed std,PeaksFCAbove10,log10-dis T-test-p Fisher-TF-Celltype-combined,log10-dis Wilcoxon-rank-sum-p Fisher-TF-Celltype-combined,fisher_exact_p Fisher-TF-Celltype-combined,log10-dis ks_2samp-p signed Fisher-TF-Celltype-combined
OCI-Ly7_BACH2,14223.0,14223.0,48292.0,134121.0,1380.19,9031.55,46.44784281030418,0.0,47.00111302965804,0.0,0.27793011319693456,0.0,0.27793011319693456,0.0,0.0332208394853406,1.474860569467345e-07,0.0,0.0,0.0,0.0,0.27793011319693456,0.0,0.0036311493667733315,2936.0,0.0,0.0,0.0,0.0
GM12878_BATF3,3242.0,3242.0,102007.5,600222.75,8285.985,43755.4,42.59693525448439,0.0,39.031762348499456,0.0,0.4358420727945713,5.050434807353305e-277,0.4358420727945713,2.525217403676671e-277,0.0006169031462060457,0.9987671444861036,164.0,12.0,14.34,4.58e-36,0.4358420727945713,2.525217403676671e-277,0.006574703510180614,666.0,0.0,0.0,4.491680760558023e-16,7.501440179803452e-121
HepG2_BHLHE40,24226.5,24226.5,60058.5,126322.75,914.5525,7562.5,40.28460478022887,4.702719685143984e-151,43.74537862525287,3.1524591657939544e-169,0.20609813360790372,1.91769408261933e-163,0.20609813360790372,9.58847041309657e-164,0.022240811769481627,0.0009273577635333731,694.5,83.25,10.3575,5.414999999999998e-78,0.20609813360790372,9.58847041309657e-164,0.003405787019758657,3783.5,0.0,0.0,7.981546912238395e-105,0.0
IMR90_BHLHE40,41102.5,41102.5,23659.25,45002.75,197.91500000000002,2406.825,48.67552091048292,0.0,57.138039088787025,0.0,0.1878479353709035,0.0,0.1878479353709035,0.0,0.01476887240411151,0.0001486194844894811,1589.5,262.25,6.3,8.599999999999996e-212,0.1878479353709035,0.0,0.0019929897393120275,10114.0,0.0,0.0,1.724146161978138e-202,0.0
A549_BHLHE40,5230.0,5230.0,139602.0,332590.75,2834.105,20505.9,22.617766371718208,1.2900761859892458e-110,23.42424545722851,2.4200372002413517e-121,0.23604206500956026,3.740928636251218e-128,0.23604206500956026,1.8704643181256143e-128,0.034416826003824084,0.00203825809939858,0.0,0.0,0.0,0.0,0.23604206500956026,1.8704643181256143e-128,0.0061882628434801615,972.0,1.886455784336874e-48,4.140563834981954e-53,0.0,3.376077847191157e-56
GM12878_BHLHE40,61190.0,61190.0,14912.0,30397.5,117.0,1519.225,67.12236888085634,0.0,73.71529398210862,0.0,0.19763850302336985,0.0,0.19763850302336985,0.0,0.015272103284850458,6.241095208719117e-07,1991.0,306.0,6.69,4.669999999999998e-307,0.19763850302336985,0.0,0.0015251487110050713,11210.0,0.0,0.0,9.168001666704532e-134,0.0
K562_BHLHE40,60161.0,60161.0,13318.0,30870.5,123.0,1553.5,79.15457489218412,0.0,90.07547014462236,0.0,0.24369608217948513,0.0,0.24369608217948513,0.0,0.013987466963647546,7.622949919132489e-06,3035.0,545.5,5.805,0.0,0.24369608217948513,0.0,0.0015610093638658597,8285.0,0.0,0.0,0.0,0.0
Caco-2_CDX2,17238.0,17238.0,94605.0,165948.125,2157.7375,11595.8,32.35449192681338,1.2607216353058784e-97,31.17740632720698,2.1766811741987413e-87,0.17407368281765023,3.698230425310186e-92,0.17407368281765023,1.849115212655083e-92,0.023704287639971348,0.007281120136254875,0.0,0.0,0.0,0.0,0.17407368281765023,1.849115212655083e-92,0.003121942568335739,3052.0,0.0,0.0,0.0,0.0
LS174T_CDX2,4161.0,4161.0,347584.0,443939.0,6104.9,31172.5,10.483262343607679,1.487419371007588e-25,7.810583336854569,5.692516931488229e-15,0.11571737563085797,1.1339096610582885e-24,0.11571737563085797,5.669548305291441e-25,0.01994712809420812,0.1909922413427375,0.0,0.0,0.0,0.0,0.11571737563085797,5.669548305291441e-25,0.006285267895233677,1195.0,1.6501553847274147e-11,6.510394034667402e-07,0.0,2.950529019229817e-11
LS180_CDX2,40107.5,40107.5,28907.0,47019.875,659.1825,3208.7375,40.4326021150095,0.0,40.69061978636998,0.0,0.148883546604472,0.0,0.148883546604472,0.0,0.018516067562080518,1.7406039785342962e-06,0.0,0.0,0.0,0.0,0.148883546604472,0.0,0.0018017125786551332,8080.5,0.0,0.0,0.0,0.0
