,#TFBS_nonBlackList,#TFMS,TFBS_nonBlackList dis-to-neighbor median,TFMS dis-to-neighbor median,TFMS percentile-1,TFMS percentile-5,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater,TFBS_nonBlackList overlap SE,TFMS overlap SE,fisher_exact_s,fisher_exact_p,log10-dis ks_2samp-s signed,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s signed std,PeaksFCAbove10
293T_ZNF263_73965,13006.0,13006.0,68408.5,116965.0,3.0,26.0,-4.783741194961771,1.73023174631305e-06,14.362032894219146,8.959548240780856e-47,0.13113178532984776,5.854461060830427e-98,0.13043979701676156,6.94253932327718e-97,0.12763339996924494,8.510803015487166e-93,0.0,0.0,0.0,0.0,0.13020913424573277,6.589691168540215e-98,0.11427040111679734,2067.0
293T_ZNF282_77148,5927.0,5927.0,125572.0,328589.0,4370.76,23430.5,34.007340336474286,5.8765640455708525e-242,29.29088456187757,1.355391734646825e-188,0.2696136325291041,7.401859308629641e-190,0.2696136325291041,3.700929654314807e-190,0.043192171418930315,1.5733744282907665e-05,0.0,0.0,0.0,0.0,0.2696136325291041,3.700929654314807e-190,0.00525019713972871,1362.0
293T_ZNF282_77149,6995.0,6995.0,103503.0,277400.5,3744.94,19849.449999999997,36.52877029474398,4.078641774490887e-279,32.195305757787935,2.065387042784635e-227,0.2726233023588277,5.157051439058053e-229,0.2726233023588277,2.5785257195290273e-229,0.040314510364546106,1.1525366291177005e-05,0.0,0.0,0.0,0.0,0.2726233023588277,2.5785257195290273e-229,0.0042995642964979664,2171.0
451Lu_HSF1_51863,109579.0,109579.0,10383.0,17426.0,4.0,869.5,56.681704106081625,0.0,76.5479570604266,0.0,0.1625265789978007,0.0,0.1625265789978007,0.0,0.023284570948813196,1.5428231569154975e-26,0.0,0.0,0.0,0.0,0.1625265789978007,0.0,0.0013664731158669788,2357.0
451Lu_HSF1_51864,24165.0,24165.0,48060.0,79794.0,699.42,5353.4,43.30819805887666,0.0,36.22427276044844,3.0520677457422626e-287,0.16277674322367058,4.692237163327108e-280,0.16277674322367058,9.73747650955697e-279,0.027581212497413576,1.0106482337466058e-08,0.0,0.0,0.0,0.0,0.16277674322367058,9.73747650955697e-279,0.002356400247729961,533.0
501-Mel_MITF_52548,128219.0,128219.0,13297.0,16589.5,121.0,1010.5,23.855403940591714,1.3334918052016796e-125,38.31646620779637,0.0,0.08258526427440549,0.0,0.08258526427440549,0.0,0.01653811057643563,5.78862487292081e-16,0.0,0.0,0.0,0.0,0.08258526427440549,0.0,0.0012101695267989943,24342.0
501-Mel_SOX10_52549,5949.0,5949.0,203163.0,323203.5,4325.54,23003.5,15.77143723052379,1.8067615560076206e-55,14.593260090823552,3.125769095549282e-48,0.14926878466969234,3.343428973170942e-58,0.14926878466969234,1.671714486585471e-58,0.02538241721297697,0.02164816819875022,0.0,0.0,0.0,0.0,0.14926878466969234,1.671714486585471e-58,0.004481252073598302,692.0
786-O_CTCF_71669,68286.0,68286.0,19664.0,23035.75,134.0,1080.0,2.992823720523839,0.002764954682608998,13.699481481152427,1.0225983537797677e-42,0.04872155346630347,7.12076589826653e-71,0.04872155346630347,3.812219886037021e-71,0.021314764373370827,3.29188592324504e-14,0.0,0.0,0.0,0.0,0.04872155346630347,3.812219886037021e-71,0.0014828030983162917,28755.0
786-O_CTCF_71670,83525.0,83525.0,14834.0,18751.0,103.12,857.1,9.050900033642261,1.4326607307953478e-19,23.621845997427446,2.298870565412969e-123,0.07884465728823703,2.9613988537072006e-226,0.07884465728823703,2.935853731455627e-226,0.02327446872193954,2.1877206346298315e-20,0.0,0.0,0.0,0.0,0.07884465728823703,2.935853731455627e-226,0.001277870324146763,21399.0
786-O_SPI1_55389,31133.0,31133.0,34851.0,61893.0,744.74,4380.1,34.48859710528482,3.4757008589162375e-258,44.864710835700514,0.0,0.18123855715799952,0.0,0.18123855715799952,0.0,0.02357626955320724,2.980594038246989e-08,0.0,0.0,0.0,0.0,0.18123855715799952,0.0,0.0018679864268641032,2140.0
